"Name","Disabled","DisabledCN","LegacyExpLevelLimit","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName","SortOrder","IsReward","IsAvailableForOffers","LockedForChronos","PriceBling","PriceGems","DisableCatalogRelease","HideInCatalogWhenNotOwned","CatalogNewDaysAdjustment","CatalogPreRequirementSkin","GiveOnSkinUnlock","NotInCatalogTID","ExtraCatalogCampaign","ExtraCatalogHero","HideFromCatalogMainCategory","UnlockedByFame"
"string","boolean","boolean","int","int","string","string","string","int","boolean","boolean","boolean","int","int","boolean","boolean","int","string","boolean","string","string","string","boolean","String"
"base1",,,1,0,,"sc/player_icons.sc","player_icon_00",0,,,,,,,,,,,,,,,
"base2",,,10,100,,"sc/player_icons.sc","player_icon_01",1,,,,,,,,,,,,,,,
"base3",,,20,1000,,"sc/player_icons.sc","player_icon_02",2,,,,,,,,,,,,,,,
"hero1",,,0,0,"ShotgunGirl","sc/player_icons.sc","player_icon_shelly",101,,,,,,,,,,,,,,,
"hero2",,,0,0,"Gunslinger","sc/player_icons.sc","player_icon_colt",103,,,,,,,,,,,,,,,
"hero3",,,0,0,"RocketGirl","sc/player_icons.sc","player_icon_brock",106,,,,,,,,,,,,,,,
"hero4",,,0,0,"Mechanic","sc/player_icons.sc","player_icon_jess",105,,,,,,,,,,,,,,,
"hero5",,,0,0,"Shaman","sc/player_icons.sc","player_icon_nita",102,,,,,,,,,,,,,,,
"hero6",,,0,0,"TntDude","sc/player_icons.sc","player_icon_mike",107,,,,,,,,,,,,,,,
"hero7",,,0,0,"Luchador","sc/player_icons.sc","player_icon_primo",201,,,,,,,,,,,,,,,
"hero8",,,0,0,"BullDude","sc/player_icons.sc","player_icon_bull",104,,,,,,,,,,,,,,,
"hero9",,,0,0,"TrickshotDude","sc/player_icons.sc","player_icon_rick",301,,,,,,,,,,,,,,,
"hero10",,,0,0,"Barkeep","sc/player_icons.sc","player_icon_barley",202,,,,,,,,,,,,,,,
"hero11",,,0,0,"DeadMariachi","sc/player_icons.sc","player_icon_poco",203,,,,,,,,,,,,,,,
"hero12",,,0,0,"Undertaker","sc/player_icons.sc","player_icon_mortis",501,,,,,,,,,,,,,,,
"hero13",,,0,0,"BowDude","sc/player_icons.sc","player_icon_bo",108,,,,,,,,,,,,,,,
"hero14",,,0,0,"Cactus","sc/player_icons.sc","player_icon_spike",601,,,,,,,,,,,,,,,
"hero15",,,0,0,"Crow","sc/player_icons.sc","player_icon_crow",602,,,,,,,,,,,,,,,
"hero16",,,0,0,"Sniper","sc/player_icons.sc","player_icon_piper",401,,,,,,,,,,,,,,,
"base4",,,40,2500,,"sc/player_icons.sc","player_icon_03",3,,,,,,,,,,,,,,,
"base5",,,60,4000,,"sc/player_icons.sc","player_icon_04",4,,,,,,,,,,,,,,,
"base6",,,80,6000,,"sc/player_icons.sc","player_icon_05",5,,,,,,,,,,,,,,,
"base7",,,100,7500,,"sc/player_icons.sc","player_icon_06",6,,,,,,,,,,,,,,,
"base8",,,120,9000,,"sc/player_icons.sc","player_icon_07",7,,,,,,,,,,,,,,,
"trophy1",,,0,500,,"sc/player_icons.sc","player_icon_trophy_00",8,,,,,,,,,,,,,,,
"trophy2",,,0,1000,,"sc/player_icons.sc","player_icon_trophy_01",9,,,,,,,,,,,,,,,
"trophy3",,,0,2000,,"sc/player_icons.sc","player_icon_trophy_02",10,,,,,,,,,,,,,,,
